"Date","Price","Open","High","Low","Vol.","Change %"
"01/11/2023","596.70","596.45","599.50","592.25","7.42M","0.26%"
"01/10/2023","595.15","608.45","609.00","590.60","10.62M","-2.07%"
"01/09/2023","607.70","605.00","609.00","600.10","8.88M","1.17%"
"01/06/2023","600.65","607.40","607.45","597.00","7.97M","-0.74%"
"01/05/2023","605.10","607.00","611.60","601.95","8.24M","-0.02%"
"01/04/2023","605.20","611.85","614.95","604.00","7.01M","-1.18%"
"01/03/2023","612.40","614.50","616.60","610.00","6.82M","0.03%"
"01/02/2023","612.20","614.95","619.20","611.20","6.73M","-0.24%"
"12/30/2022","613.70","615.25","620.55","611.35","13.05M","0.31%"
"12/29/2022","611.80","600.00","618.00","597.15","20.13M","1.79%"
"12/28/2022","601.05","600.90","607.00","598.55","7.99M","-0.14%"
"12/27/2022","601.90","600.40","603.10","593.30","9.64M","0.80%"
"12/26/2022","597.10","574.00","601.70","570.70","13.20M","4.02%"
"12/23/2022","574.00","590.00","590.70","571.50","13.05M","-3.27%"
"12/22/2022","593.40","597.00","599.00","587.55","8.74M","0.00%"
"12/21/2022","593.40","605.90","609.15","589.60","9.22M","-1.83%"
"12/20/2022","604.45","603.00","606.50","599.55","6.75M","0.00%"
"12/19/2022","604.45","604.00","609.50","603.00","8.32M","0.18%"
"12/16/2022","603.35","612.00","615.60","602.10","9.44M","-2.05%"
"12/15/2022","615.95","625.55","629.55","614.30","10.62M","-1.53%"
"12/14/2022","625.50","618.50","626.75","617.50","14.01M","1.42%"
"12/13/2022","616.75","613.50","617.40","612.50","7.46M","0.60%"
"12/12/2022","613.05","614.80","618.70","611.00","9.29M","-0.56%"
"12/09/2022","616.50","614.40","618.00","609.10","11.20M","0.79%"
"12/08/2022","611.65","609.75","613.80","607.15","10.02M","0.76%"
"12/07/2022","607.05","610.85","612.90","604.50","7.61M","-0.31%"
"12/06/2022","608.95","614.75","619.80","607.80","13.00M","-1.35%"
"12/05/2022","617.30","608.50","618.00","607.55","11.59M","1.60%"
"12/02/2022","607.55","607.50","609.60","604.25","7.53M","-0.09%"
"12/01/2022","608.10","607.85","609.80","601.55","14.21M","0.94%"
"11/30/2022","602.45","608.50","611.40","598.40","15.61M","-1.00%"
"11/29/2022","608.55","607.10","611.80","607.10","6.94M","-0.01%"
"11/28/2022","608.60","605.60","610.90","602.35","7.93M","0.20%"
"11/25/2022","607.40","610.55","613.70","606.25","9.99M","-0.32%"
"11/24/2022","609.35","609.75","611.30","605.80","8.96M","0.28%"
"11/23/2022","607.65","601.55","609.60","601.00","12.44M","1.43%"
"11/22/2022","599.10","598.15","600.70","596.15","8.05M","0.17%"
"11/21/2022","598.10","602.10","602.10","595.35","7.41M","-0.76%"
"11/18/2022","602.70","601.00","605.75","597.15","12.93M","0.61%"
"11/17/2022","599.05","599.10","602.75","596.15","8.17M","-0.12%"
"11/16/2022","599.75","599.95","603.50","596.00","11.56M","-0.18%"
"11/15/2022","600.85","594.30","602.10","592.65","10.29M","1.40%"
"11/14/2022","592.55","603.95","603.95","591.65","12.96M","-1.46%"
"11/11/2022","601.30","617.25","619.55","598.50","15.53M","-0.73%"
